backdrop_path,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,vote_average,vote_count
https://image.tmdb.org/t/p/w1280/7j4ug9B6JXVeh5HhQjjPScrdj4Z.jpg,S.W.A.T.,en,S.W.A.T.,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,https://image.tmdb.org/t/p/w1280/7Bttz4hEspKlpU0Me57dkHNR3nf.jpg,tv,"[80, 10759, 18]",264.218,2017-11-02,8.11,1067
https://image.tmdb.org/t/p/w1280/a9BUJ5duK7QonAN3aMib6Nie6Fc.jpg,Star Trek: Prodigy,en,Star Trek: Prodigy,"A motley crew of young rebellious aliens commandeer an old Starfleet ship and must figure out how to work together while navigating a greater galaxy, in search for a better future. These six young outcasts know nothing about the ship they have commandeered, but over the course of their adventures together, they will each be introduced to Starfleet and the ideals it represents.",https://image.tmdb.org/t/p/w1280/qiIHiqCwVu5SGa7Fkg0AVZkRGSR.jpg,tv,"[16, 10765, 10762]",43.315,2021-10-28,7.667,75
https://image.tmdb.org/t/p/w1280/c168NfS0F7c24FYiKZTgZosKGCb.jpg,Reboot,en,Reboot,"When Hulu reboots an early 2000s family sitcom, its dysfunctional cast is forced back together and now must deal with their unresolved issues in today’s fast-changing world.",https://image.tmdb.org/t/p/w1280/5Ifv1Z5nYK19AQVZQkEpH0S0IcT.jpg,tv,[35],16.492,2022-09-20,6.9,17
https://image.tmdb.org/t/p/w1280/jBJWaqoSCiARWtfV0GlqHrcdidd.jpg,The Witcher,en,The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",https://image.tmdb.org/t/p/w1280/7vjaCdMw15FEbXyLQTVa04URsPm.jpg,tv,"[18, 10759, 10765]",156.625,2019-12-20,8.211,4208
https://image.tmdb.org/t/p/w1280/8It24QPVH5X1pGBBr0SNAEYlAj.jpg,The Cleaning Lady,en,The Cleaning Lady,"A whip-smart doctor comes to the U.S. for a medical treatment to save her ailing son. But when the system fails and pushes her into hiding, she refuses to be beaten down and marginalized. Instead, she becomes a cleaning lady for the mob and starts playing the game by her own rules.",https://image.tmdb.org/t/p/w1280/9MnhlpX6n2UMkiiD3Bt2hTOB0PW.jpg,tv,"[80, 18]",237.825,2022-01-03,7.827,55
https://image.tmdb.org/t/p/w1280/jnwlOrBiGsGr0Oe93cRrwEOTXNV.jpg,Unsolved Mysteries,en,Unsolved Mysteries,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",https://image.tmdb.org/t/p/w1280/a97V0nC9IVtidZAFOx7VrBT0IWW.jpg,tv,"[99, 18, 9648]",27.164,2020-07-01,7.783,249
https://image.tmdb.org/t/p/w1280/yXggMemopUDHwPgmi6X9Wh2BQra.jpg,Dragon Ball,ja,ドラゴンボール,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the mystical Dragon Balls brought her to Goku's home. Together, they set off to find all seven and to grant her wish.",https://image.tmdb.org/t/p/w1280/tZ0jXOeYBWPZ0OWzUhTlYvMF7YR.jpg,tv,"[16, 10759, 10765]",11.544,1986-02-26,8.227,2511
https://image.tmdb.org/t/p/w1280/gco9GOAYLpTAVSahJnHELQ00D7V.jpg,The Stolen Cup,es,Robo mundial,"After investing all his savings to travel with his son to the World Cup, Lucho is shocked when the Argentine team gets disqualified from the games. He and a flashy group of losers, decide to devise a plan to steal the World Cup trophy.",https://image.tmdb.org/t/p/w1280/7UN6avyL6oNy3HP5QdYtgRXeqgP.jpg,tv,"[35, 18]",190.513,2022-11-09,8.0,1
https://image.tmdb.org/t/p/w1280/rzAzvWJoZSwVSswvWsKx1lqT63m.jpg,Star Trek: Strange New Worlds,en,Star Trek: Strange New Worlds,"Follow Christopher Pike, Spock and Number One in the years before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy. This show is a prequel to the original series and Star Trek: Discovery.",https://image.tmdb.org/t/p/w1280/iwIdajr5Y4zq2ibvq75VnDAJBr.jpg,tv,[10765],102.143,2022-05-05,8.203,227
https://image.tmdb.org/t/p/w1280/9ijMGlJKqcslswWUzTEwScm82Gs.jpg,The Mandalorian,en,The Mandalorian,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",https://image.tmdb.org/t/p/w1280/sWgBv7LV2PRoQgkxwlibdGXKz1S.jpg,tv,"[10765, 10759, 18]",108.844,2019-11-12,8.477,8054
